code,system
10111,readv2
11445,readv2
15126,readv2
16149,readv2
19296,readv2
2079,readv2
2080,readv2
2081,readv2
29619,readv2
29620,readv2
32920,readv2
35732,readv2
3886,readv2
39506,readv2
39714,readv2
39715,readv2
45572,readv2
4586,readv2
46775,readv2
47817,readv2
47963,readv2
48164,readv2
48182,readv2
49532,readv2
50235,readv2
5076,readv2
51309,readv2
51501,readv2
54276,readv2
55644,readv2
56504,readv2
5658,readv2
5722,readv2
57863,readv2
5907,readv2
59120,readv2
59125,readv2
59241,readv2
59242,readv2
59273,readv2
59318,readv2
59609,readv2
60268,readv2
60424,readv2
60578,readv2
60804,readv2
61623,readv2
61624,readv2
61625,readv2
6409,readv2
7022,readv2
7023,readv2
10263,readv2
107,readv2
12469,readv2
1370,readv2
1398,readv2
14857,readv2
17177,readv2
2062,readv2
2128,readv2
21854,readv2
24637,readv2
25903,readv2
27113,readv2
2782,readv2
27967,readv2
30392,readv2
3068,readv2
34144,readv2
34592,readv2
34699,readv2
3881,readv2
4175,readv2
4490,readv2
47014,readv2
47670,readv2
49789,readv2
50147,readv2
50148,readv2
50159,readv2
53749,readv2
53750,readv2
53846,readv2
5587,readv2
56786,readv2
58539,readv2
59082,readv2
59293,readv2
59377,readv2
59378,readv2
59467,readv2
59504,readv2
60245,readv2
60573,readv2
61769,readv2
6504,readv2
6594,readv2
6624,readv2
7498,readv2
9678,readv2
10400,readv2
11960,readv2
12280,readv2
15459,readv2
25969,readv2
32351,readv2
40910,readv2
50517,readv2
55553,readv2
55769,readv2
608,readv2
10553,readv2
25482,readv2
2716,readv2
27321,readv2
30433,readv2
4026,readv2
52883,readv2
8632,readv2
9713,readv2
10687,readv2
1291,readv2
13434,readv2
29024,readv2
3058,readv2
33391,readv2
53644,readv2
8060,readv2
8749,readv2
1069,readv2
15369,readv2
18616,readv2
2065,readv2
24963,readv2
34830,readv2
49754,readv2
8152,readv2
9454,readv2
979,readv2
10871,readv2
1119,readv2
13549,readv2
14856,readv2
30047,readv2
30990,readv2
31079,readv2
32109,readv2
34574,readv2
34759,readv2
35520,readv2
40055,readv2
41735,readv2
43501,readv2
43502,readv2
43540,readv2
49434,readv2
49435,readv2
49795,readv2
51664,readv2
56316,readv2
56780,readv2
7465,readv2
805,readv2
11075,readv2
1550,readv2
16609,readv2
17152,readv2
20004,readv2
2082,readv2
24153,readv2
2822,readv2
30081,readv2
3107,readv2
33058,readv2
33106,readv2
3350,readv2
34120,readv2
34150,readv2
34151,readv2
34178,readv2
34414,readv2
34626,readv2
34632,readv2
34707,readv2
34883,readv2
35024,readv2
35471,readv2
35747,readv2
35755,readv2
36318,readv2
36633,readv2
36634,readv2
37306,readv2
3731,readv2
3733,readv2
3734,readv2
37584,readv2
37611,readv2
3845,readv2
38507,readv2
38508,readv2
38939,readv2
38949,readv2
39039,readv2
39276,readv2
39279,readv2
39427,readv2
39452,readv2
39550,readv2
39930,readv2
40070,readv2
40395,readv2
40400,readv2
41137,readv2
4195,readv2
42038,readv2
42090,readv2
43178,readv2
43387,readv2
43648,readv2
43742,readv2
44472,readv2
44718,readv2
44903,readv2
4495,readv2
